date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020-06-09,07:45,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-06-11,14:45,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-06-17,15:00,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-06-18,14:45,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-06-25,09:00,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-06-28,17:15,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-06-29,17:20,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-07-02,15:00,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-07-08,15:00,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-08-13,15:40,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-08-27,14:10,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-08-31,10:00,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-09-01,09:15,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-09-15,12:00,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-09-17,09:00,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-09-21,13:30,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-10-16,15:30,AG,"",960,"","","","",46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-10-19,15:00,AG,,960,,,,,46,https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
